Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 14:03:05,2018-01-12 14:03:43,38.387s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:03:06,2018-01-12 14:03:30,24.677s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:03:07,2018-01-12 14:03:29,22.673s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 14:03:29,2018-01-12 14:03:30,0.290s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:03:30,2018-01-12 14:03:30,0.665s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:03:30,2018-01-12 14:03:43,12.973s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:03:31,2018-01-12 14:03:43,12.025s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:03:43,2018-01-12 14:03:43,0.605s,PASSED
