Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 11:16:35,2018-01-12 11:17:08,33.443s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:16:35,2018-01-12 11:16:58,22.992s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:16:36,2018-01-12 11:16:57,21.089s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 11:16:57,2018-01-12 11:16:57,0.355s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:16:57,2018-01-12 11:16:58,0.675s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:16:58,2018-01-12 11:17:08,9.732s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:16:59,2018-01-12 11:17:07,8.676s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:17:07,2018-01-12 11:17:08,0.630s,PASSED
