Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 11:27:50,2018-01-12 11:28:21,31.344s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:27:50,2018-01-12 11:28:11,20.409s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:27:51,2018-01-12 11:28:09,18.145s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 11:28:09,2018-01-12 11:28:10,0.551s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:28:10,2018-01-12 11:28:11,0.741s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:28:11,2018-01-12 11:28:21,10.204s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:28:11,2018-01-12 11:28:20,9.242s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:28:20,2018-01-12 11:28:21,0.617s,PASSED
