Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 14:15:39,2018-01-12 14:16:23,44.760s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:15:39,2018-01-12 14:16:04,24.980s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:15:40,2018-01-12 14:16:03,22.716s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 14:16:03,2018-01-12 14:16:04,0.426s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:16:04,2018-01-12 14:16:04,0.724s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:16:04,2018-01-12 14:16:23,18.904s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:16:05,2018-01-12 14:16:23,17.867s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:16:23,2018-01-12 14:16:23,0.608s,PASSED
