Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-11 16:11:34,2018-01-11 16:12:07,32.413s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-11 16:11:36,2018-01-11 16:12:06,30.440s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-11 16:11:38,2018-01-11 16:12:05,27.266s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-11 16:12:05,2018-01-11 16:12:06,0.520s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-11 16:12:06,2018-01-11 16:12:06,0.800s,PASSED
