Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 11:04:21,2018-01-12 11:05:03,42.511s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:04:22,2018-01-12 11:04:54,32.112s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:04:23,2018-01-12 11:04:52,29.758s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 11:04:52,2018-01-12 11:04:53,0.437s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:04:53,2018-01-12 11:04:54,0.803s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 11:04:54,2018-01-12 11:05:03,9.714s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 11:04:54,2018-01-12 11:05:03,8.723s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 11:05:03,2018-01-12 11:05:03,0.610s,PASSED
