Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 13:31:07,2018-01-12 13:31:54,47.490s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 13:31:09,2018-01-12 13:31:44,35.465s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 13:31:11,2018-01-12 13:31:43,32.495s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 13:31:43,2018-01-12 13:31:43,0.433s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 13:31:43,2018-01-12 13:31:44,0.699s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 13:31:44,2018-01-12 13:31:54,9.866s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 13:31:45,2018-01-12 13:31:53,8.964s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 13:31:53,2018-01-12 13:31:54,0.600s,PASSED
