Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 14:05:35,2018-01-12 14:06:05,30.781s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:05:35,2018-01-12 14:05:54,18.374s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:05:36,2018-01-12 14:05:52,16.120s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 14:05:52,2018-01-12 14:05:53,0.762s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:05:53,2018-01-12 14:05:54,0.667s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:05:54,2018-01-12 14:06:05,11.719s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:05:54,2018-01-12 14:06:05,10.756s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:06:05,2018-01-12 14:06:05,0.622s,PASSED
