Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 08:52:27,2018-01-12 08:53:12,44.568s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 08:52:28,2018-01-12 08:53:02,33.905s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 08:52:29,2018-01-12 08:53:00,31.164s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 08:53:00,2018-01-12 08:53:01,0.712s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 08:53:01,2018-01-12 08:53:02,0.976s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 08:53:02,2018-01-12 08:53:12,9.796s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 08:53:03,2018-01-12 08:53:11,8.588s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 08:53:11,2018-01-12 08:53:12,0.649s,PASSED
