Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 10:58:18,2018-01-12 10:58:53,34.063s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 10:58:19,2018-01-12 10:58:43,24.395s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 10:58:20,2018-01-12 10:58:42,22.218s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 10:58:42,2018-01-12 10:58:43,0.490s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 10:58:43,2018-01-12 10:58:43,0.712s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 10:58:43,2018-01-12 10:58:52,9.007s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 10:58:44,2018-01-12 10:58:52,8.049s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 10:58:52,2018-01-12 10:58:52,0.607s,PASSED
