Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 14:23:43,2018-01-12 14:24:10,26.480s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:23:44,2018-01-12 14:24:02,17.668s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:23:45,2018-01-12 14:24:00,15.123s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 14:24:00,2018-01-12 14:24:01,0.663s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:24:01,2018-01-12 14:24:02,0.924s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:24:02,2018-01-12 14:24:10,8.162s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:24:02,2018-01-12 14:24:09,6.978s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:24:09,2018-01-12 14:24:10,0.621s,PASSED
